P /32	              IP MKT	         Bloco /30	        IP Fortigate/Cisco	AS
172.27.xxx.2/32	    172.27.xxx.97/32	10.24.xxx.96/30	    172.27.xxx.98/32	64512
172.27.xxx.3/32	    172.27.xxx.101/32	10.24.xxx.100/30	172.27.xxx.102/32	64513
172.27.xxx.4/32	    172.27.xxx.105/32	10.24.xxx.104/30	172.27.xxx.106/32	64514
172.27.xxx.5/32	    172.27.xxx.109/32	10.24.xxx.108/30	172.27.xxx.110/32	64515
172.27.xxx.6/32	    172.27.xxx.113/32	10.24.xxx.112/30	172.27.xxx.114/32	64516
172.27.xxx.7/32	    172.27.xxx.117/32	10.24.xxx.116/30	172.27.xxx.118/32	64517
172.27.xxx.8/32	    172.27.xxx.121/32	10.24.xxx.120/30	172.27.xxx.122/32	64518
172.27.xxx.9/32	    172.27.xxx.125/32	10.24.xxx.124/30	172.27.xxx.126/32	64519
172.27.xxx.10/32	172.27.xxx.129/32	10.24.xxx.128/30	172.27.xxx.130/32	64520
172.27.xxx.11/32	172.27.xxx.133/32	10.24.xxx.132/30	172.27.xxx.134/32	64521
172.27.xxx.12/32	172.27.xxx.137/32	10.24.xxx.136/30	172.27.xxx.138/32	64522
172.27.xxx.13/32	172.27.xxx.141/32	10.24.xxx.140/30	172.27.xxx.142/32	64523
172.27.xxx.14/32	172.27.xxx.145/32	10.24.xxx.144/30	172.27.xxx.146/32	64524
172.27.xxx.15/32	172.27.xxx.149/32	10.24.xxx.148/30	172.27.xxx.150/32	64525
172.27.xxx.16/32	172.27.xxx.153/32	10.24.xxx.152/30	172.27.xxx.154/32	64526
172.27.xxx.17/32	172.27.xxx.157/32	10.24.xxx.156/30	172.27.xxx.158/32	64527
172.27.xxx.18/32	172.27.xxx.161/32	10.24.xxx.160/30	172.27.xxx.162/32	64528
172.27.xxx.19/32	172.27.xxx.165/32	10.24.xxx.164/30	172.27.xxx.166/32	64529
172.27.xxx.20/32	172.27.xxx.169/32	10.24.xxx.168/30	172.27.xxx.170/32	64530
172.27.xxx.21/32	172.27.xxx.173/32	10.24.xxx.172/30	172.27.xxx.174/32	64531
172.27.xxx.22/32	172.27.xxx.177/32	10.24.xxx.176/30	172.27.xxx.178/32	64532
172.27.xxx.23/32	172.27.xxx.181/32	10.24.xxx.180/30	172.27.xxx.182/32	64533
172.27.xxx.24/32	172.27.xxx.185/32	10.24.xxx.184/30	172.27.xxx.186/32	64534
172.27.xxx.25/32	172.27.xxx.189/32	10.24.xxx.188/30	172.27.xxx.190/32	64535
172.27.xxx.26/32	172.27.xxx.193/32	10.24.xxx.192/30	172.27.xxx.194/32	64536
172.27.xxx.27/32	172.27.xxx.197/32	10.24.xxx.196/30	172.27.xxx.198/32	64537
172.27.xxx.28/32	172.27.xxx.201/32	10.24.xxx.200/30	172.27.xxx.202/32	64538
172.27.xxx.29/32	172.27.xxx.205/32	10.24.xxx.204/30	172.27.xxx.206/32	64539
172.27.xxx.30/32	172.27.xxx.209/32	10.24.xxx.208/30	172.27.xxx.210/32	64540
172.27.xxx.31/32	172.27.xxx.213/32	10.24.xxx.212/30	172.27.xxx.214/32	64541
172.27.xxx.32/32	172.27.xxx.217/32	10.24.xxx.216/30	172.27.xxx.218/32	64542
172.27.xxx.33/32	172.27.xxx.221/32	10.24.xxx.220/30	172.27.xxx.222/32	64543
172.27.xxx.34/32	172.27.xxx.225/32	10.24.xxx.224/30	172.27.xxx.226/32	64544
172.27.xxx.35/32	172.27.xxx.229/32	10.24.xxx.228/30	172.27.xxx.230/32	64545
172.27.xxx.36/32	172.27.xxx.233/32	10.24.xxx.232/30	172.27.xxx.234/32	64546
172.27.xxx.37/32	172.27.xxx.237/32	10.24.xxx.236/30	172.27.xxx.238/32	64547
172.27.xxx.38/32	172.27.xxx.241/32	10.24.xxx.240/30	172.27.xxx.242/32	64548
172.27.xxx.39/32	172.27.xxx.245/32	10.24.xxx.244/30	172.27.xxx.246/32	64549
172.27.xxx.40/32	172.27.xxx.249/32	10.24.xxx.248/30	172.27.xxx.250/32	64550
172.27.xxx.41/32	172.27.xxx.253/32	10.24.xxx.252/30	172.27.xxx.254/32	64551
